[No],[証券コード],[EDINETコード],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,6178,E31748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,6098,E07801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2433,E05410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,9735,E04773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2181,E21261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2331,E05309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,9783,E04939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,9715,E04837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,8876,E05047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,4544,E00967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,4661,E04707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2413,E05425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,4681,E03969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,4665,E04926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2432,E05460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,4694,E05056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,4708,E05014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,9616,E04908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2121,E05617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,6089,E30140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,9729,E04826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2146,E05698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,4781,E05121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,9619,E04904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,4837,E05265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,6197,E04878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,9728,E04828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,9744,E04804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,9726,E04348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2415,E05428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,4732,E05045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,6569,E33815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,4337,E03379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,4680,E04710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,9788,E04934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2162,E05676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2371,E05350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
