[No],[証券コード],[EDINETコード],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,6195,E32405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2342,E05317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,6579,E34082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,6027,E31009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,6033,E31079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,6035,E31054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,9760,E04823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,6556,E33412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,6070,E26839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,6096,E30682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2413,E05425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2130,E05153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,6181,E31855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,6544,E33034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,6069,E26933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,6045,E31446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,6089,E30140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2497,E05562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2372,E05352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2148,E05686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,4310,E05221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,8876,E05047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,6197,E04878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2146,E05698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2127,E05629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,6549,E33247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,9619,E04904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2175,E05697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,6185,E31958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,6564,E33577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2181,E21261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,6580,E34018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2488,E05593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,6082,E30065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,9701,E04535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,6055,E26124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2393,E05381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
