[検索タイプ] : 企業検索,,,,,,,,,,,
[検索条件] : 〔 業種（東証） ： 水産・農林業 OR 鉱　業 OR 建設業 OR 食料品 OR 繊維製品 OR パルプ・紙 OR 化　学 OR 医薬品 OR 石油・石炭製品 OR ゴム製品 OR ガラス・土石製品 OR 鉄　鋼 OR 非鉄金属 OR 金属製品 OR 機　械 OR 電気機器 OR 輸送用機器 OR 精密機器 OR その他製品 OR 電気・ガス業 OR 陸運業 OR 海運業 OR 空運業 OR 倉庫・運輸関連業 OR 情報・通信業 OR 卸売業 OR 小売業 OR 銀行業 OR 証券、商品先物取引業 OR 保険業 OR その他金融業 OR 不動産業 OR サービス業 〕 AND 〔 決算月 ： 3月 〕 AND 〔 連結/非連結 ： 連結 〕 AND 〔 その他表示項目 ： 時価総額（直近終値ベース） 〕,,,,,,,,,,,
[並び順] : 〔 証券コード ： 昇順 〕,,,,,,,,,,,
,,,,,,,,,,,
[No],[証券コード],[EDINETコード],[企業名],[業種（東証）],[上場市場],[決算月],[会計方式],[連結/非連結],[監査法人],[時価総額（直近終値ベース）[百万円]],[ウォッチリスト]
1,1301,E00012,㈱極洋,水産・農林業,東証一部,3月末日,日本基準,連結,井上監査法人," 31,954 ",--
2,1332,E00014,日本水産㈱,水産・農林業,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 175,273 ",--
3,1333,E00015,マルハニチロ㈱,水産・農林業,東証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 131,326 ",--
4,1352,E00017,㈱ホウスイ,卸売業,東証一部,3月末日,日本基準,連結,監査法人和宏事務所," 7,968 ",--
5,1375,E00007,㈱雪国まいたけ,水産・農林業,東証一部,3月末日,IFRS基準,連結,ＰｗＣあらた有限責任監査法人," 70,043 ",--
6,1379,E00008,ホクト㈱,水産・農林業,東証一部,3月末日,日本基準,連結,新日本有限責任監査法人," 65,150 ",--
7,1380,E00344,㈱秋川牧園,水産・農林業,JASDAQ スタンダード,3月末日,日本基準,連結,晄和監査法人," 4,734 ",--
8,1384,E31220,㈱ホクリヨウ,水産・農林業,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 6,395 ",--
9,1417,E24558,㈱ミライト・ホールディングス,建設業,東証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 213,184 ",--
10,1420,E27273,サンヨーホームズ㈱,建設業,東証一部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 9,275 ",--
11,1443,E33535,技研ホールディングス㈱,建設業,東証二部,3月末日,日本基準,連結,清流監査法人," 4,985 ",--
12,1447,E34165,ＩＴｂｏｏｋホールディングス㈱,建設業,東証マザーズ,3月末日,日本基準,連結,監査法人ナカチ," 10,002 ",--
13,1448,E34109,㈱スペースバリューホールディングス,建設業,東証一部,3月末日,日本基準,連結,ＰｗＣ京都監査法人," 25,529 ",--
14,1451,E34679,㈱ＫＨＣ,建設業,東証二部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 2,537 ",--
15,1491,E00027,中外鉱業㈱,非鉄金属,東証二部,3月末日,日本基準,連結,監査法人ハイビスカス," 10,141 ",--
16,1514,E21342,住石ホールディングス㈱,鉱　業,東証一部,3月末日,日本基準,連結,ＲＳＭ清和監査法人," 7,656 ",--
17,1515,E00036,日鉄鉱業㈱,鉱　業,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 52,619 ",--
18,1518,E00037,三井松島ホールディングス㈱,鉱　業,東証一部、福証上場,3月末日,日本基準,連結,有限責任監査法人トーマツ," 12,724 ",--
19,1662,E00041,石油資源開発㈱,鉱　業,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 115,395 ",--
20,1711,E05452,㈱省電舎ホールディングス,建設業,東証二部,3月末日,日本基準,連結,やまと監査法人," 2,477 ",--
21,1719,E00317,㈱安藤・間,建設業,東証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 169,490 ",--
22,1720,E00316,東急建設㈱,建設業,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 82,312 ",--
